"Volksabstimmungen (Ergebnisse Ebene Kanton seit 1866)"

"Kanton"	"Datum und Vorlage"	"Stimmberechtigte"	"Ja"	"Ja in %"
"Schweiz"	"21.05.2017 Energiegesetz"	5356575	1322263	58.2
"Schweiz"	"12.02.2017 Unternehmenssteuerreform III"	5344186	989311	40.9
"Schweiz"	"12.02.2017 Fonds für die Nationalstrassen und den Agglomerationsverkehr"	5344186	1503746	61.9
"Schweiz"	"12.02.2017 Erleichterte Einbürgerung der dritten Ausländergeneration"	5344186	1499627	60.4
"Schweiz"	"27.11.2016 Atomausstiegsinitiative"	5336711	1099409	45.8
"Schweiz"	"25.09.2016 Nachrichtendienstgesetz"	5329183	1459068	65.5
"Schweiz"	"25.09.2016 Initiative «AHVplus: für eine starke AHV»"	5329183	921375	40.6
"Schweiz"	"25.09.2016 Initiative «Grüne Wirtschaft»"	5329183	819770	36.4
"Schweiz"	"05.06.2016 Asylgesetz"	5313287	1616597	66.8
"Schweiz"	"05.06.2016 Fortpflanzungsmedizingesetz"	5313287	1490417	62.4
"Schweiz"	"05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»"	5313287	709974	29.2
"Schweiz"	"05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»"	5313287	568660	23.1
"Schweiz"	"05.06.2016 Initiative «Pro Service public»"	5313287	784303	32.4
"Schweiz"	"28.02.2016 Sanierung Gotthard-Strassentunnel"	5302873	1883859	57.0
"Schweiz"	"28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln"	5302873	1287786	40.1
"Schweiz"	"28.02.2016 Durchsetzungsinitiative"	5302873	1375098	41.1
"Schweiz"	"28.02.2016 Initiative gegen die Heiratsstrafe"	5302873	1609152	49.2
"Schweiz"	"14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe)"	5265120	1128522	50.1
"Schweiz"	"14.06.2015 Initiative «Millionen-Erbschaften besteuern»"	5265120	657851	29.0
"Schweiz"	"14.06.2015 Stipendieninitiative"	5265120	610284	27.5
"Schweiz"	"14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich"	5265120	1377613	61.9
"Schweiz"	"08.03.2015 Initiative «Energie- statt Mehrwertsteuer»"	5254965	175405	8.0
"Schweiz"	"08.03.2015 Initiative «Steuerfreie Kinderzulagen»"	5254965	537795	24.6
"Schweiz"	"30.11.2014 Gold-Initiative"	5247512	580528	22.7
"Schweiz"	"30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»"	5247512	671099	25.9
"Schweiz"	"30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung"	5247512	1053125	40.8
"Schweiz"	"28.09.2014 Initiative «Für eine öffentliche Krankenkasse»"	5240134	933012	38.2
"Schweiz"	"28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»"	5240134	684563	28.5
"Schweiz"	"18.05.2014 Beschaffung des Kampfflugzeugs Gripen"	5221880	1345726	46.6
"Schweiz"	"18.05.2014 Mindestlohn-Initiative"	5221880	687571	23.7
"Schweiz"	"18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»"	5221880	1819822	63.5
"Schweiz"	"18.05.2014 Medizinische Grundversorgung"	5221880	2480870	88.1
"Schweiz"	"09.02.2014 Initiative «Gegen Masseneinwanderung»"	5211681	1463854	50.3
"Schweiz"	"09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»"	5211681	873060	30.2
"Schweiz"	"09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur"	5211681	1776878	62.0
"Schweiz"	"24.11.2013 Nationalstrassenabgabegesetz (NSAG)"	5204062	1087368	39.5
"Schweiz"	"24.11.2013 Familieninitiative"	5204062	1139670	41.5
"Schweiz"	"24.11.2013 Initiative «1:12 - für gerechte Löhne»"	5204062	954787	34.7
"Schweiz"	"22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops"	5195333	1324528	55.8
"Schweiz"	"22.09.2013 Epidemiengesetz"	5195333	1416741	60.0
"Schweiz"	"22.09.2013 Aufhebung der Wehrpflicht"	5195333	644985	26.8
"Schweiz"	"09.06.2013 Asylgesetz"	5184334	1573007	78.4
"Schweiz"	"09.06.2013 «Volkswahl des Bundesrates»"	5184334	480291	23.7
"Schweiz"	"03.03.2013 Raumplanungsgesetz"	5174961	1476942	62.9
"Schweiz"	"03.03.2013 Initiative «gegen die Abzockerei»"	5174961	1616184	68.0
"Schweiz"	"03.03.2013 Familienpolitik"	5174961	1283951	54.3
"Schweiz"	"25.11.2012 Tierseuchengesetz"	5166973	946220	68.3
"Schweiz"	"23.09.2012 «Schutz vor Passivrauchen»"	5160331	741205	34.0
"Schweiz"	"23.09.2012 «Sicheres Wohnen im Alter»"	5160331	1014016	47.4
"Schweiz"	"23.09.2012 Jugendmusikförderung"	5160331	1552045	72.7
"Schweiz"	"17.06.2012 Krankenversicherungsgesetz (Managed Care)"	5149475	466862	23.9
"Schweiz"	"17.06.2012 Initiative «Staatsverträge vors Volk!»"	5149475	480173	24.7
"Schweiz"	"17.06.2012 «Eigene vier Wände dank Bausparen»"	5149475	601449	31.1
"Schweiz"	"11.03.2012 Buchpreisbindung"	5139057	966633	43.9
"Schweiz"	"11.03.2012 Regelung der Geldspiele zugunsten gemeinnütziger Zwecke"	5139057	1916182	87.1
"Schweiz"	"11.03.2012 6 Wochen Ferien für alle"	5139057	771717	33.5
"Schweiz"	"11.03.2012 Für ein steuerlich begünstigtes Bausparen"	5139057	980273	44.2
"Schweiz"	"11.03.2012 Schluss mit uferlosem Bau von Zweitwohnungen!"	5139057	1152598	50.6
"Schweiz"	"13.02.2011 Waffeninitiative"	5092212	1083312	43.7
"Schweiz"	"28.11.2010 Steuergerechtigkeits-Initiative"	5083921	1073229	41.5
"Schweiz"	"28.11.2010 Gegenentwurf zur Ausschaffungsinitiative"	5083921	1189269	45.8
"Schweiz"	"28.11.2010 Ausschaffungsinitiative"	5083921	1397923	52.9
"Schweiz"	"26.09.2010 Revision des Arbeitslosenversicherungsgesetzes"	5077180	958913	53.4
"Schweiz"	"07.03.2010 Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes"	5051316	617209	27.3
"Schweiz"	"07.03.2010 Tierschutzanwalt-Initiative"	5051316	671731	29.5
"Schweiz"	"07.03.2010 Forschung am Menschen"	5051316	1708488	77.2
"Schweiz"	"29.11.2009 Verbot von Minaretten"	5039710	1535010	57.5
"Schweiz"	"29.11.2009 Verbot von Kriegsmaterial-Exporten"	5039710	837156	31.8
"Schweiz"	"29.11.2009 Spezialfinanzierung für Aufgaben im Luftverkehr"	5039710	1609682	65.0
"Schweiz"	"27.09.2009 Verzicht auf die Einführung der allgemeinen Volksinitiative"	5030938	1307237	67.9
"Schweiz"	"27.09.2009 IV-Zusatzfinanzierung"	5030938	1112818	54.6
"Schweiz"	"17.05.2009 Biometrische Pässe"	5011176	953173	50.1
"Schweiz"	"17.05.2009 Verfassungsartikel zur Komplementärmedizin"	5011176	1283893	67.0
"Schweiz"	"08.02.2009 Personenfreizügigkeit Schweiz-EU"	4999664	1517132	59.6
"Schweiz"	"30.11.2008 Betäubungsmittelgesetz"	4993100	1541928	68.1
"Schweiz"	"30.11.2008 Hanfinitiative"	4993100	846985	36.7
"Schweiz"	"30.11.2008 Verbandsbeschwerderechts-Initiative"	4993100	773467	34.0
"Schweiz"	"30.11.2008 Initiative für ein flexibles AHV-Alter"	4993100	970221	41.4
